airport_code,airport_name,city,coordinates,timezone
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,"[33.6407, -84.4277]",America/New_York
PEK,Beijing Capital International Airport,Beijing,"[40.0799, 116.6031]",Asia/Shanghai
DXB,Dubai International Airport,Dubai,"[25.2532, 55.3657]",Asia/Dubai
LAX,Los Angeles International Airport,Los Angeles,"[33.9416, -118.4085]",America/Los_Angeles
HND,Tokyo Haneda Airport,Tokyo,"[35.5494, 139.7798]",Asia/Tokyo
ORD,O'Hare International Airport,Chicago,"[41.9742, -87.9073]",America/Chicago
LHR,London Heathrow Airport,London,"[51.47, -0.4543]",Europe/London
CDG,Charles de Gaulle Airport,Paris,"[49.0097, 2.5479]",Europe/Paris
DFW,Dallas/Fort Worth International Airport,Dallas,"[32.8998, -97.0403]",America/Chicago
HKG,Hong Kong International Airport,Hong Kong,"[22.308, 113.9185]",Asia/Hong_Kong
JFK,John F. Kennedy International Airport,New York,"[40.6413, -73.7781]",America/New_York
AMS,Amsterdam Airport Schiphol,Amsterdam,"[52.3105, 4.7683]",Europe/Amsterdam
FRA,Frankfurt Airport,Frankfurt,"[50.0379, 8.5622]",Europe/Berlin
PVG,Shanghai Pudong International Airport,Shanghai,"[31.1443, 121.8083]",Asia/Shanghai
SFO,San Francisco International Airport,San Francisco,"[37.6213, -122.379]",America/Los_Angeles
ICN,Incheon International Airport,Seoul,"[37.4601, 126.4406]",Asia/Seoul
DEN,Denver International Airport,Denver,"[39.8561, -104.6737]",America/Denver
BKK,Suvarnabhumi Airport,Bangkok,"[13.69, 100.7501]",Asia/Bangkok
MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,"[40.4839, -3.568]",Europe/Madrid
SIN,Singapore Changi Airport,Singapore,"[1.3644, 103.9915]",Asia/Singapore
CAN,Guangzhou Baiyun International Airport,Guangzhou,"[23.3959, 113.308]",Asia/Shanghai
SEA,Seattle-Tacoma International Airport,Seattle,"[47.4502, -122.3088]",America/Los_Angeles
MIA,Miami International Airport,Miami,"[25.7959, -80.287]",America/New_York
BCN,Barcelona-El Prat Airport,Barcelona,"[41.2974, 2.0833]",Europe/Madrid
YYZ,Toronto Pearson International Airport,Toronto,"[43.6772, -79.6306]",America/Toronto
PHX,Phoenix Sky Harbor International Airport,Phoenix,"[33.4343, -112.0117]",America/Phoenix
LAS,Harry Reid International Airport,Las Vegas,"[36.084, -115.1537]",America/Los_Angeles
IAH,George Bush Intercontinental Airport,Houston,"[29.9844, -95.3414]",America/Chicago
MUC,Munich Airport,Munich,"[48.3537, 11.775]",Europe/Berlin
IST,Istanbul Airport,Istanbul,"[41.2658, 28.7425]",Europe/Istanbul
DEL,Indira Gandhi International Airport,New Delhi,"[28.5562, 77.1]",Asia/Kolkata
SYD,Sydney Airport,Sydney,"[-33.9399, 151.1753]",Australia/Sydney
MCO,Orlando International Airport,Orlando,"[28.4312, -81.3081]",America/New_York
EWR,Newark Liberty International Airport,Newark,"[40.6895, -74.1745]",America/New_York
LGW,London Gatwick Airport,London,"[51.1481, -0.1903]",Europe/London
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,"[44.8848, -93.2223]",America/Chicago
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,"[19.0896, 72.8656]",Asia/Kolkata
CLT,Charlotte Douglas International Airport,Charlotte,"[35.214, -80.9431]",America/New_York
KMG,Kunming Changshui International Airport,Kunming,"[25.1019, 102.9292]",Asia/Shanghai
MNL,Ninoy Aquino International Airport,Manila,"[14.5086, 121.0194]",Asia/Manila
TPE,Taiwan Taoyuan International Airport,Taipei,"[25.0777, 121.2335]",Asia/Taipei
MEX,Mexico City International Airport,Mexico City,"[19.436, -99.0719]",America/Mexico_City
AKL,Auckland Airport,Auckland,"[-37.0082, 174.785]",Pacific/Auckland
IAD,Washington Dulles International Airport,"Washington, D.C.","[38.9531, -77.4565]",America/New_York
GRU,São Paulo–Guarulhos International Airport,São Paulo,"[-23.4356, -46.4734]",America/Sao_Paulo
FCO,Leonardo da Vinci International Airport,Rome,"[41.8002, 12.2389]",Europe/Rome
CTU,Chengdu Shuangliu International Airport,Chengdu,"[30.5785, 103.947]",Asia/Shanghai
TPA,Tampa International Airport,Tampa,"[27.9755, -82.5332]",America/New_York
BOS,Boston Logan International Airport,Boston,"[42.3656, -71.0096]",America/New_York
YYC,Calgary International Airport,Calgary,"[51.1215, -114.0076]",America/Edmonton
DME,Moscow Domodedovo Airport,Moscow,"[55.4103, 37.9006]",Europe/Moscow
VIE,Vienna International Airport,Vienna,"[48.1103, 16.5697]",Europe/Vienna
SLC,Salt Lake City International Airport,Salt Lake City,"[40.7899, -111.9791]",America/Denver
DUS,Düsseldorf Airport,Düsseldorf,"[51.2876, 6.7667]",Europe/Berlin
ORY,Paris Orly Airport,Paris,"[48.7262, 2.3652]",Europe/Paris
YVR,Vancouver International Airport,Vancouver,"[49.19, -123.1815]",America/Vancouver
JNB,O. R. Tambo International Airport,Johannesburg,"[-26.1392, 28.246]",Africa/Johannesburg
ZRH,Zurich Airport,Zurich,"[47.4582, 8.5554]",Europe/Zurich
NRT,Narita International Airport,Tokyo,"[35.772, 140.3929]",Asia/Tokyo
LGA,LaGuardia Airport,New York,"[40.7772, -73.8726]",America/New_York
BRU,Brussels Airport,Brussels,"[50.901, 4.4856]",Europe/Brussels
CPH,Copenhagen Airport,Copenhagen,"[55.6181, 12.6507]",Europe/Copenhagen
SVO,Sheremetyevo International Airport,Moscow,"[55.9736, 37.4146]",Europe/Moscow
MEL,Melbourne Airport,Melbourne,"[-37.669, 144.841]",Australia/Melbourne
DTW,Detroit Metropolitan Wayne County Airport,Detroit,"[42.2162, -83.3554]",America/Detroit
